sent	label
Remind me tomorrow about buying pen for taran with bill. At 9 am.	Found
Remind me to go to dad's shop @ 2:30 pm	Found
Tomo evening at 4.30 pm remember me i should go to near basavana bhavan	Found
remind me to watch baar bar dekho at 8.00 pm today	Found
Hello, when did I ask for this reminder?	Found
Please remind me to do payment of credit card today at 10:10 am	Found
i need a reminder in tamil	Found
please remind me to open crystals at 1655 hours	Found
Via call?	Not Found
Edit my reminder	Found
Remind me in 12:50pm	Found
Add some more reminders	Found
Remind me to book tickets today	Found
I want to remind to my wife birthday	Found
i will stopped reminder...	Found
Alert tone?	Not Found
Set me a reminder after 12 minutes	Found
Can u remind me every day that i have punch in at zinger at 9:45 am ??	Found
Ya sure you can	Not Found
Everyday	Not Found
If my provided number will be out of reach den plz make me a call on 8804033000	Found
Set Alarm from 10:400AM to 10:50AM, today, 2 minutes difference	Found
Also remind me to book ticket of partha on 3rd Jan at 09:30	Found
Add a reminder on 24th nov at 3.30 at meet Mr. Oak	Found
And remind me to check mi store	Found
How can i set reminders	Found
I want to change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way	Found
Please call.me on 10 Nov, 2016 at 11 am IST please	Found
Give a cll to me at 4pm today to remind me to buy smthing	Found
Any upcoming events?	Not Found
remind me 9pm	Found
Hi, please remind me tomorrow to go to parlour for my eyebrows done.ok	Found
Today I have set a reminder at morning 9 am	Found
Thank u for remember me	Not Found
My reminder came late	Found
Does haptik send me reminders from a single mobile number?	Found
But call on above mention number just said recharge	Found
Remind me to buy eggs at 6 pm today	Found
My reminder of march 18th 2017	Found
Cud u make it hydrating reminder frequency by hour	Found
I want to set it as yearly reminder	Found
Thanks man...i ll let you know in case of any assistance	Not Found
K thks remember with me	Found
I said except on sunday I need a daily alarm at 7:05 AM	Found
Remind me to collect headpone today at 5pm	Found
Plz remind me to eat something at 7pm	Found
Please dismiss all my reminders	Found
Remind me today at 8:00 pm to make note	Found
Can I set reminder for another phone from this phone?	Found
Remind on Monday to call Vivin at 11 am	Found
I also need a general reminder to upload the documents at 11.30 am	Found
Please remind me that I have a flight from Chandigarh to Pune tomorrow at 1430 hours	Found
Change the frequency of reminder	Found
Alarm same time this morning please?	Found
Can you remind me whenever JEE and Gujcet exam online application starts??	Found
Whats that reminder for	Not Found
Remind me at 4:20 pm	Found
Reminders for every month	Not Found
Tell me about best and safe file sharing app	Found
Pls remind for go to garden at 430pm	Found
Please do setup reminder	Found
Surely,Thanks. The same will be for the Language Reminder too?	Found
How could uhh remind me	Found
Second d reminder today 830 pm for the same	Found
Remind for RO service	Found
Call me immediately	Not Found
Pls remind on 7th Jan 2017 at 11am for filling hallticket of nmis	Found
Remind me for purchase of pillows at 5 pm today	Not Found
Ok can you schedule the same task for 2:45 pm today	Found
Every Saturday at 9 pm	Found
I need a reminder	Found
Reminder on another number	Found
Remind me about Lenskart	Not Found
Phone call	Not Found
Will u plz set a reminder for me	Not Found
I need a reminder after 56 days	Found
Please remind me morrow at 5.15	Found
Remind me at 4 pm to visit ICICI Bank and boxer	Found
Can you remind me to do the same after an hour please?	Found
Does my phone need to be connected to Internet for reminders?	Found
Set an alarm for 9 am today	Found
Give a reminder to carry laptop	Found
And remind me to do on every Monday to yuvakender at 9:25pm	Found
Set one more reminder for tonight 930pm	Found
How will I get a reminder?	Found
can you remaind me to sleep at 10.35pm today	Found
Remind me to submit my taxes and pay the man all my money at 12:24	Found
Remind me to go to david sassoon library at 1.30	Found
I wwant to make one more reminder	Found
Remind me to take interview of Pooja on 7th Dec at 8 P. M.	Found
Remind me to get true copy of agreement tomorrow	Found
Remind me on 7 January for visit to borivali for Nagaur got at 3 pm	Found
Call me on	Found
Please remind me the above	Found
Can you remind me to book ticket's for dec end tomorrow ??	Not Found
Thanks for reminder.......	Found
Need repeat alarm in next 5 min	Found
Remind me to follow up with nana at 7 pm today.	Found
Call me in 7898117441	Not Found
I want a reminder to go to Aziza at 4pm	Found
Remind me this at 11 am	Found
Please remind me on 3rd dec 2016... to deactivate active fitness pkg	Found
Remind me at four thorty to check the cookies	Found
Remind me at 3:10 pm today	Found
Please remind me after 15 minutes for food	Found
Can you set reminder for 18 December at 9 pm to book tickets for nations street food festival 2016	Found
U can remind till 10	Found
This reminder for Shivani pathak okk????	Found
Set an alarm at 8 am for tomorrow	Found
Yes komal go ahead	Not Found
again call me after 10 minutes	Found
Yeah thanks for reminding me	Found
Was the call made by you at 12?	Found
Please schedule it for everyday	Found
Nahi 9:15 Ko Mujhe Remind Karo	Found
Remind me that I have math tuition at 2:00pm	Found
Also, remind on Monday thrice	Found
Remind me on 16 Dec at 5 pm for bday of vikas	Found
I want this reminder daily	Found
Please remind me tomorrow at 1pm to mail my leave application	Found
Remind me to cal ravi kumar	Found
Remind me at 5pm to go veer hosiery	Found
Reminder for electrochemical analysis today 11:30 am	Found
Make it for 10:30 am to call Jaineel	Not Found
OBC loan payment. Remind me each month on 28th at 10:30	Found
Thanks for remind me	Found
Just tell me how this remainder option works?	Found
31st Dec 6:45 am 7:00 am 7:10 am Will you schedule all of these please?😌😌	Found
Reminder for roll num attest tomorrow at 10 am	Found
Remind me to book movie tickets today at 12pm	Found
Need to keep reminder	Found
16/1/2016 please remind about court in the morning 8am	Found
I need a reminder at 5.50 pm sharp.	Found
9824671888	Not Found
Remind me for pollution check on 10/03/17at 8.45	Found
reminder on friday at 9 am	Found
If I uninstall haptic will I get reminders?	Found
thanks fr d reminder	Found
Please remind me for paying online for movie tickets	Found
Remind me to eat tablets	Found
Remind me my match	Found
One more birthday remainder please	Found
Could tell me about taj mahal	Found
Remind me at 10 o'clock tomorrow	Found
Will you remind me i have to watch movie?	Not Found
Why are nt you calling me	Found
9811027464	Not Found
Please set a general reminder for today @ 5:00 p.m.	Found
Call me at 8 plZ	Found
Remind me at 10 15 am everyday	Found
That's good service, can you send format of to do list ? Or how to prepare to do list ???	Found
Remind me for shoes g wing and wholesale t & c at 1 pm today and tomorrow both	Found
On this 8th and 9th I arrange a meeting with military staff so please remind me at 9:30 am on those day	Found
I wanted to set on more alarm	Found
21 Nov call to Jaini for Jmd var on 10am	Found
Can u Mee what was today's reminders of me	Found
Can u send automated message(scheduled) to any number	Found
Schedule reminder at 3:10pm today for cheque issue	Found
I need a reminder at 11.55 pm January 6th	Found
Why there isn't any sound for reminding messages?	Found
Please remind me on :720 am	Found
Hi I need 3 reminders a day 1. 11.30 am for salad 2. 1.30 pm for lunch 3. 4 pm for fruits	Found
Pls remind me...Tomorrow I have to submit Power quality analysis report hard copy...	Not Found
Remaind me at 11.59 am yaa	Found
Ty for all the reminders	Found
Put a reminder for me	Found
Remind me to bring atta from chakki today at 9.30pm	Found
Hey, can you remind me to carry my laptop tomorrow morning?	Found
Can you remind me on my nu.mber 9269504000	Found
Remind me to have a walk for every one hour in between 10 - 6pm	Found
Yes thx want reminder daily	Found
Can u Remind me on buying gifts tomorrow for a contest at office may be around at 10:30 am tomorrow	Found
Plz remind m after 5 min	Found
Can u setup one reminder as well	Found
Hi Daniel...remind me to take Airtel connection	Found
that reminder ws 12.30 pm	Found
Remind me to carry make up box	Found
Thnqq for reminding me	Not Found
Call to 2ic tomorrow at 10.30 am	Found
Why arw you calling me.	Not Found
Yes.	Not Found
Reminder to pay insurance premium	Found
Remind me Raheja Plaza hearing on 11-1-17 @ 12-30pm	Found
Guys, inspite my repeated request you all are still sending me these useless reminders , what you want ? Should I downgrade your rating of your app or uninstall permanently.? Next reminder & I will do both thing so beware 👿👿	Found
Set a reminder in 18th	Found
Remind me according to glasses	Found
Remind me at 9am in the morning to change the order to 100kg each	Found
I did get reminder	Found
One reminder for 9th November 00.00 am	Not Found
9829210008	Not Found
Remind me on Monday about tax submission by 3 pm	Found
This was such a small alarm	Found
All done madam.. thanks.. fortunately I remembered this	Found
Can u please remind me to bring my laptop to college on Tuesday	Found
Remind me to have lunch at 2:30 pm today	Found
Thank u lot for remembering I really appreciate this service	Found
Remind me to take my cheque book and bring it to office tomorrow	Found
Hi.. I need reminder for folic acid only on Wednesdays.. Thanks	Found
Please remind me to visit Bsnl office on Monday 07.11.2016 at 13:30 pm	Found
Reminder at 6	Found
Want to set one reminder	Found
Oh s	Not Found
Reminder to punch in biometry	Found
Cool thanku soo much.... can u send me this msg detail along with a call that day?	Found
Remind me of a flight to Germany on 13th at 11 am	Found
Please remind me to get the printout for a manual today at 7.30pm	Found
Schedule this for tomorrow	Not Found
I will let you know	Not Found
Afterwards	Not Found
Can you remind me to take deo on 24 th November at 4.45 pm	Found
Sure thanks for reminding	Found
Reminder message should be	Found
Can you remind me through phone alert?	Found
7 am	Not Found
I want to remember a birthday	Found
Dont't reminder me for every 30 minutes	Found
Remind me for my cousin bday. At 23:50	Found
Pls remind me on same task at 9 pm	Found
Pls set to 10 am to 6 pm only	Found
Reminder: management hour at 7:45pm today	Found
Can you set a reminder for me	Not Found
I should be able to make conference calls from my mobile. Can you help?	Found
Remind me to remind Rutu about training	Found
Please remember me I have to buy a CD to tomorrow at 5 p.m.	Found
Call me at 12 45 pm	Found
Thanks..	Found
Thanks for the reminder, I had now	Found
If u remind me to study, then it will be much appreciated :p	Found
Will i get my 6:30 pm call	Found
Where is my call	Found
Hey sayali can you please remind me bring photo to college	Found
Hi can I send reminders to my colleagues as well	Found
This Sunday.. Got a meeting with subesh sir. Schedule Tht for me please	Found
Remind me to book a cab at 6 o clock	Found
Good morning shreya	Found
Tell me something about Amazon	Not Found
Today at 12	Found
I need 2 calls one fr 7.00 am n another for 7.30 am	Found
Make me remind tomorrow	Not Found
Keep remaining me about creating my own software for my company for this two weeks. From morning 10am to 6 pm every 2hours once.	Found
Set reminder for 1:30 as i have to study bst	Found
Thanks a lot to remind me	Found
Reminder for getting party games organzined	Found
Pls set a alarm for 8 Am	Not Found
Call me at 9 am	Not Found
Will u remind me daily	Not Found
Where is aspirin reminder?	Found
Pleaze remind me to download the gs notes today 9:30 Pm	Found
Cud u plz set a reminder for me	Not Found
Remind me to have sex at 8pm	Found
Can you change my time 2 reminder of 10am to 10pm?	Found
But I ddnt get a cl from ur side for this reminder	Found
Remind me to take a haircut on the 25th at 6pm	Found
Gayathri 03/01/17 5.10	Found
Does the phone have to be on to get the reminder	Found
Yes.. You can remind me every day	Not Found
Can you please set this up	Found
Can u pls remind me to make a list for all rip and repair styles in one folder	Found
To which number you call?	Not Found
Reminder for journey	Found
One more reminder at 11 am tomorrow to collect post office 5 year term deposit.	Found
Hi .... please remind me to buy deo, pet food, nd grocery	Found
Nopes i want you guys to make that call	Not Found
Like movie tickets , cabs ,etc. There must be another option. Like person assistance. Just a suggestion . Think about it.	Found
Tomorrow poshan ahar meeting place reminder me at 9 am	Found
Remind me about my daughters pajama party on 16.12.16	Found
Make it a schedule for all week days	Not Found
Can u Plz remind me to collect a frame @ 5	Found
One more reminder for s for tomo at 9.30 am	Found
Remind me about Aadhar card	Not Found
Remind Saloni about Stacy courier on 29th November 2016 at 11am	Found
Set the alarm for 8am everyday	Found
Every month of 20th I need remainder	Not Found
Set reminder at 2:30 pm To note down the result of aldol condensation	Found
Remind me to hear kal ho na ho song on jan 7 at 3pm	Found
Yes remind me every monday to friday	Found
Remind me to Go for police verification	Not Found
Also schedule the same for 7am and 7:30am too	Found
Thnaks	Found
Thanks neha. So nice of u	Found
didi can u stp all my reminders plz	Found
Remind me at 15.25 to go to meeting	Found
Remind me to leave for Vaishali at 4 pm today	Found
Please set the alarm for me at 9 clock sharp tomrow	Found
Remind messaginf Geet for blazer and nehru jacket at 10.30pm today.	Not Found
Can you set 2 alarms please?	Not Found
I need that reminder daily	Found
I want you to remind me on 02472222987	Not Found
Two reminders these are	Found
Yes make me remind ....I have onenyt stand with my gf tonight ..plz make me remember at 9	Found
My paper is on 19nov 2016 Time 10am Remind me weather I talk my admit card , photo copy and proof of photo identity	Found
Pls make continues reminder	Found
Please remind me on 19th Jan about Chitra nakshtra	Found
Want to set reminder for milk every day 5.30 PM.	Found
Remember me to study	Found
Please remind me to buy meftal spa in the morning. At around 8.30 am and again remind me at 9 am.	Found
Remind me to pick a bag from friend home	Found
Remind me to Upload money back challenge report tomorrow morning	Found
